laptop_ID,Company,TypeName,Inches,Cpu,Ram,Memory,OpSys,Weight,Price_euros
96,Asus,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.25kg,1049.0
97,Acer,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.5kg,847.0
98,Dell,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Linux,2.2kg,599.9
99,Dell,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Linux,2.2kg,485.0
100,Asus,Notebook,15.6,Intel Core i3 7100U 2.4GHz,6GB,256GB SSD,Windows 10,2kg,577.0
102,HP,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,12GB,128GB SSD +  1TB HDD,Windows 10,2.62kg,1249.0
103,HP,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.91kg,719.0
104,HP,Notebook,15.6,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,Windows 10,2.1kg,349.0
105,Dell,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Linux,2.2kg,647.0
106,HP,Ultrabook,13.3,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.38kg,1119.0
107,Microsoft,Ultrabook,13.5,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10 S,1.252kg,1340.0
108,HP,Notebook,14.0,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Windows 10,1.58kg,659.0
109,Lenovo,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows 10,1.85kg,414.9
110,Asus,Ultrabook,14.0,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.3kg,1193.0
111,MSI,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.2kg,1299.0
112,Lenovo,Notebook,14.0,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Windows 10,1.58kg,1480.0
113,Asus,Ultrabook,15.6,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,1.5kg,1262.0
114,Dell,Ultrabook,13.3,Intel Core i7 7560U 2.4GHz,8GB,256GB SSD,Windows 10,1.23kg,1379.0
115,Lenovo,2 in 1 Convertible,13.3,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.37kg,1399.0
116,HP,Notebook,14.0,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Windows 10,1.63kg,722.0
117,Dell,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.21kg,1629.0
118,HP,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.26kg,1398.99
119,HP,Notebook,14.0,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Windows 10,1.63kg,1084.0
120,Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD +  1TB HDD,Windows 10,2.16kg,1130.33
121,Asus,Notebook,17.3,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows 10,2kg,564.0
122,Asus,Notebook,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.7kg,1118.0
123,Acer,Notebook,15.6,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,Windows 10,2.1kg,479.0
124,MSI,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Windows 10,1.8kg,2241.5
125,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,No OS,2.2kg,629.0
126,HP,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Windows 10,2.5kg,1271.0
127,Acer,Notebook,15.6,AMD A9-Series 9420 3GHz,4GB,256GB SSD,Windows 10,2.1kg,451.0
128,HP,Notebook,15.6,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,No OS,1.86kg,259.0
129,HP,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Windows 10,1.63kg,812.0
130,Asus,Notebook,14.0,AMD E-Series 6110 1.5GHz,4GB,64GB SSD,Windows 10 S,1.65kg,277.99
131,Dell,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,Windows 10,2.8kg,1396.0
132,HP,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,2.5kg,928.0
133,Dell,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Windows 10,2.36kg,638.99
134,Dell,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows 10,2.2kg,449.0
135,Acer,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.6kg,884.0
136,Acer,Notebook,15.6,Intel Core i3 7130U 2.7GHz,4GB,256GB SSD,Windows 10,2.2kg,572.0
137,HP,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Windows 10,2.05kg,598.0
138,HP,Notebook,14.0,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.63kg,988.0
139,Lenovo,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,No OS,1.9kg,252.36
140,Asus,Gaming,17.3,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Windows 10,3kg,938.0
141,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,No OS,2.2kg,499.0
142,HP,Notebook,13.3,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Windows 10,1.32kg,699.0
143,Acer,Notebook,17.3,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Windows 10,3kg,655.0
144,Lenovo,Notebook,14.0,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.75kg,1116.02
145,Lenovo,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,No OS,2.4kg,869.0
146,Toshiba,Notebook,15.6,Intel Core i5 6200U 2.3GHz,4GB,500GB HDD,Windows 10,2.1kg,602.0
147,HP,Notebook,15.6,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,Windows 10,1.86kg,369.0
148,Asus,Ultrabook,14.0,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.25kg,1099.0
149,HP,Ultrabook,12.5,Intel Core M 6Y75 1.2GHz,8GB,512GB SSD,Windows 10,0.97kg,2014.0
150,Asus,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Windows 10,2kg,344.0
151,MSI,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.9kg,2029.0
152,Acer,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Windows 10,2.1kg,447.0
153,Dell,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Windows 10,2.56kg,1249.26
154,Dell,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,1.0TB Hybrid,Windows 10,2.62kg,899.0
155,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Windows 10,1.9kg,498.0
156,MSI,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.8kg,1890.0
157,HP,Ultrabook,14.0,Intel Core i5 7500U 2.7GHz,4GB,256GB SSD,Windows 10,1.48kg,1082.0
158,HP,Notebook,15.6,Intel Core i5 8250U 1.6GHz,6GB,256GB SSD,Windows 10,1.91kg,619.0
159,Lenovo,2 in 1 Convertible,14.0,Intel Core i3 7100U 2.4GHz,4GB,256GB SSD,Windows 10,1.74kg,629.0
160,Asus,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.1kg,1315.0
161,Dell,2 in 1 Convertible,15.6,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.56kg,1049.0
163,Toshiba,Notebook,15.6,Intel Core i3 6006U 2.2GHz,4GB,500GB HDD,Windows 10,2.1kg,447.0
164,Asus,Notebook,15.6,AMD A9-Series 9420 3GHz,4GB,1TB HDD,Windows 10,2.03kg,403.0
165,Acer,Notebook,17.3,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Windows 10,3kg,805.0
166,Dell,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,2.13kg,728.0
167,Lenovo,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD,Windows 10,2.5kg,1079.0
168,Acer,Notebook,15.6,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Windows 10,2.1kg,348.0
169,MSI,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.4kg,1799.0
170,Acer,Notebook,15.6,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Windows 10,2.1kg,363.51
171,Dell,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.56kg,1060.49
172,Acer,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,3kg,854.0
173,HP,Notebook,13.3,Intel Core i5 8250U 1.6GHz,4GB,500GB HDD,Windows 10,1.49kg,754.0
174,Huawei,Ultrabook,13.0,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,1.05kg,1349.0
175,HP,Notebook,17.3,Intel Core i5 7200U 2.5GHz,6GB,2TB HDD,Windows 10,2.71kg,699.0
176,Lenovo,Notebook,15.6,AMD A6-Series 9220 2.9GHz,4GB,500GB HDD,No OS,2.2kg,309.0
177,Toshiba,Notebook,15.6,Intel Core i3 7100U 2.4GHz,4GB,500GB HDD,Windows 10,2kg,489.0
178,HP,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,2.5kg,923.0
179,Dell,Notebook,15.6,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Windows 10,2.3kg,459.0
180,Acer,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Windows 10,2.1kg,449.0
181,MSI,Gaming,18.4,Intel Core i7 6920HQ 2.9GHz,32GB,512GB SSD +  1TB HDD,Windows 10,4.4kg,2799.0
182,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,Windows 10,1.90kg,813.0
183,HP,2 in 1 Convertible,13.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.29kg,1499.0
184,Dell,Notebook,15.6,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,Linux,2.02kg,1049.0
185,Dell,Ultrabook,13.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.23kg,1399.0
186,Lenovo,2 in 1 Convertible,13.9,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Windows 10,1.4kg,1849.0
187,Toshiba,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD,Windows 10,2.0kg,793.0
188,Xiaomi,Notebook,15.6,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,No OS,1.95kg,1199.0
189,Dell,Notebook,17.3,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Windows 10,2.77kg,1549.0
190,Dell,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Windows 10,2.06kg,2397.0
191,Lenovo,Gaming,15.6,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,No OS,2.4kg,779.0
192,Acer,Ultrabook,13.3,Intel Core i5 7Y54 1.2GHz,8GB,256GB SSD,Windows 10,1.12kg,989.0
193,Dell,Notebook,17.3,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Windows 10,2.8kg,1085.0
194,Lenovo,2 in 1 Convertible,14.0,Intel Core i7 7500U 2.7GHz,16GB,1TB SSD,Windows 10,1.42kg,2824.0
195,Vero,Notebook,14.0,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Windows 10,1.3kg,260.0
196,Xiaomi,Ultrabook,13.3,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,No OS,1.3kg,999.9
197,Lenovo,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,No OS,2.8kg,698.0
198,Dell,2 in 1 Convertible,13.3,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Windows 10,1.62kg,839.0
199,HP,Notebook,17.3,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Windows 10,2.5kg,914.0
200,Razer,Gaming,17.3,Intel Core i7 7820HK 2.9GHz,32GB,1TB SSD,Windows 10,3.49kg,6099.0
201,HP,Notebook,13.3,Intel Core i5 8250U 1.6GHz,8GB,512GB SSD,Windows 10,1.49kg,959.0
202,HP,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,3.35kg,1379.0
203,HP,Notebook,17.3,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,2.5kg,1045.0
204,Dell,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Windows 10,2.65kg,1845.0
205,Lenovo,Notebook,15.6,Intel Core i5 6200U 2.3GHz,4GB,128GB SSD,Windows 10,2.1kg,493.0
206,Acer,Notebook,15.6,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Windows 10,2.23kg,742.0
207,Lenovo,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD +  1TB HDD,Windows 10,3.2kg,1749.0
208,Dell,Workstation,15.6,Intel Xeon E3-1505M V6 3GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.8kg,3055.0
209,Lenovo,Gaming,15.6,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,No OS,2.4kg,1398.0
210,Dell,Notebook,15.6,Intel Core i3 7100U 2.4GHz,6GB,1TB HDD,Windows 10,2.3kg,439.0
211,Dell,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.21kg,1949.0
212,Dell,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.2kg,1449.0
213,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Windows 10,2.2kg,597.0
215,Acer,Notebook,15.6,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Linux,2.4kg,779.0
216,Asus,Gaming,17.3,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Windows 10,2.9kg,1407.0
217,HP,Notebook,15.6,Intel Core i3 6006U 2GHz,4GB,500GB HDD,No OS,2.1kg,349.0
218,Lenovo,Notebook,15.6,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,No OS,2.2kg,549.0
219,Huawei,Ultrabook,13.0,Intel Core i7 7500U 2.7GHz,8GB,512GB SSD,Windows 10,1.05kg,1499.0
220,Dell,Ultrabook,13.3,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.4kg,931.88
221,Lenovo,Notebook,17.3,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,No OS,2.8kg,589.0
222,HP,Notebook,14.0,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Windows 10,1.63kg,1031.0
223,Dell,Ultrabook,14.0,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Windows 10,1.6kg,1149.0
